Account_ID,Age,Marital_Status,Dependents,Client_Industry,Residency_Zip,State,Account_Status,Annual_Income,Liquidity_Needs,Investment_Experience,Risk_Tolerance,Investment_Goals,Time_Horizon,Exclusions,SRI_Preferences,Tax_Status
f3feaff86948,37,Married,2,Health Care Distributors,05401,VT,True,102097,Short-Term (3-12 months),Moderate,Moderate,Education,Long-term,Exclude Sector: Utilities,No specific preference,Tax-deferred
358e290f5bd0,43,Married,4,Telecom Tower REITs,85003,AZ,True,273996,Medium-Term (1-5 years),Limited,Aggressive,Income,Short-term,Exclude Sector: Health Care,Prefer ESG in: Utilities,Tax-deferred
737a7722d759,28,Married,0,Construction Materials,47902,IN,True,325528,Medium-Term (1-5 years),Limited,Moderate,Education,Long-term,None,Prefer ESG: CME Group (CME),Taxable
95c9d3794695,37,Married,0,Oil & Gas Storage & Transportation,73103,OK,False,147224,Medium-Term (1-5 years),Experienced,Conservative,Income,Long-term,Exclude Company: EOG Resources (EOG),Prefer ESG in: Energy,Taxable
7331ca9e31f8,25,Single,0,"Hotels, Resorts & Cruise Lines",02905,RI,True,414173,Medium-Term (1-5 years),Professional,Aggressive,Education,Short-term,None,Prefer ESG in: Real Estate,Taxable
24a99a1b3c2b,72,Married,3,Heavy Electrical Equipment,68105,NE,False,389573,Medium-Term (1-5 years),Experienced,Conservative,Income,Medium-term,None,Prefer ESG: Trane Technologies (TT),Tax-deferred
e8a66d0a0e5d,21,Single,2,Brewers,32802,FL,True,1764581,Medium-Term (1-5 years),Moderate,Moderate,Philanthropy,Long-term,None,Prefer ESG: Old Dominion (ODFL),Taxable
c1e6f318878e,54,Single,4,Leisure Products,68105,NE,True,234512,Short-Term (3-12 months),None,Conservative,Philanthropy,Long-term,Exclude Company: Waters Corporation (WAT) | DTE Energy (DTE),Prefer ESG in: Utilities,Tax-deferred
12c807f880ff,72,Married,1,Fertilizers & Agricultural Chemicals,96803,HI,True,244058,Medium-Term (1-5 years),Sophisticated,Conservative,Income,Medium-term,None,Prefer ESG in: Industrials,Taxable
3ca45bd2a489,47,Married,1,Data Center REITs,19905,DE,True,1663046,Medium-Term (1-5 years),Limited,Aggressive,Income,Long-term,Exclude Sector: Industrials,Prefer ESG in: Automotive Parts & Equipment,Tax-deferred
000677f7a493,51,Single,0,Passenger Airlines,99501,AK,True,643680,Immediate (0-3 months),Moderate,Conservative,Income,Short-term,None,Prefer ESG in: Materials,Taxable
dddc0d55c8fa,33,Single,1,Heavy Electrical Equipment,58104,ND,False,155313,Long-Term (5+ years),Moderate,Moderate,Philanthropy,Long-term,Exclude Company: Trane Technologies (TT),Prefer ESG in: Real Estate,Tax-deferred
dc30d7e87676,59,Single,2,Aerospace & Defense,38101,TN,False,102142,Immediate (0-3 months),Limited,Conservative,Education,Medium-term,None,Prefer ESG in: Diversified Support Services,Tax-deferred
0293fa4bef8c,75,Single,1,Oil & Gas Refining & Marketing,40202,KY,True,268244,Short-Term (3-12 months),Experienced,Conservative,Education,Short-term,Exclude Company: Take Two Interactive (TTWO) | CF Industries (CF) | Abbott Laboratories (ABT),No specific preference,Taxable
1f55d493f306,71,Married,3,Paper & Plastic Packaging Products & Materials,02101,MA,True,591658,Long-Term (5+ years),Professional,Conservative,Retirement,Short-term,Exclude Sector: Consumer Staples,Prefer ESG in: Fertilizers & Agricultural Chemicals,Tax-deferred
9760e084abca,38,Married,2,Gold,97203,OR,True,448400,Immediate (0-3 months),Limited,Moderate,Retirement,Short-term,Exclude Industry: Oil & Gas Refining & Marketing,Prefer ESG: Ecolab (ECL),Tax-deferred
9705bab17d74,21,Married,1,Construction & Engineering,52802,IA,True,876751,Long-Term (5+ years),Moderate,Moderate,Philanthropy,Long-term,None,Prefer ESG in: Wireless Telecommunication Services,Tax-deferred
d72fcc30fd34,39,Married,2,Pharmaceuticals,20602,MD,True,137805,Immediate (0-3 months),Professional,Aggressive,Income,Short-term,Exclude Company: Ecolab (ECL) | Workday  Inc. (WDAY) | Agilent Technologies (A),No specific preference,Taxable
d51307f61d49,26,Single,2,Commodity Chemicals,29204,SC,False,695864,Medium-Term (1-5 years),Limited,Aggressive,Philanthropy,Long-term,Exclude Industry: Industrial Gases,No specific preference,Taxable
1df1e31e33b2,44,Married,1,Construction & Engineering,94101,CA,True,1823763,Immediate (0-3 months),None,Conservative,Income,Long-term,Exclude Industry: Integrated Oil & Gas,Prefer ESG in: Health Care Facilities,Tax-deferred
c63bbc59ee31,28,Married,1,Fertilizers & Agricultural Chemicals,60603,IL,True,626531,Long-Term (5+ years),Moderate,Aggressive,Philanthropy,Medium-term,Exclude Company: Mondelez International (MDLZ),Prefer ESG in: Drug Retail,Tax-deferred
283df8c1ef5f,38,Married,4,Health Care Services,70114,LA,True,890957,Immediate (0-3 months),Experienced,Aggressive,Philanthropy,Long-term,Exclude Industry: Air Freight & Logistics,No specific preference,Taxable
19c334c1e294,73,Single,0,Oil & Gas Refining & Marketing,68102,NE,True,376425,Medium-Term (1-5 years),Moderate,Moderate,Retirement,Short-term,Exclude Sector: Utilities,Prefer ESG: Abbott Laboratories (ABT),Tax-deferred
8cc9a1ba421c,22,Single,1,Integrated Telecommunication Services,57501,SD,True,937956,Long-Term (5+ years),Moderate,Aggressive,Income,Short-term,Exclude Industry: Construction & Engineering,Prefer ESG in: Health Care,Taxable
8c027bc8746f,24,Single,2,Specialty Chemicals,63104,MO,True,1945173,Immediate (0-3 months),Experienced,Aggressive,Income,Short-term,None,Prefer ESG in: Automotive Retail,Tax-deferred
2733989d0daa,52,Single,3,Real Estate Services,83001,WY,True,1907034,Long-Term (5+ years),Experienced,Aggressive,Education,Short-term,Exclude Industry: Industrial REITs,Prefer ESG in: Real Estate,Taxable
f79b369bca18,47,Single,3,Restaurants,01702,MA,False,679032,Medium-Term (1-5 years),Limited,Moderate,Philanthropy,Short-term,Exclude Company: A. O. Smith (AOS) | PPG Industries (PPG),No specific preference,Tax-deferred
41977ca8ca01,39,Single,2,Timber REITs,40204,KY,True,668665,Short-Term (3-12 months),Experienced,Aggressive,Retirement,Long-term,Exclude Sector: Consumer Discretionary,Prefer ESG: Molina Healthcare (MOH),Tax-deferred
50d16565b364,39,Married,3,Soft Drinks & Non-alcoholic Beverages,19904,DE,True,244494,Medium-Term (1-5 years),Limited,Conservative,Retirement,Long-term,None,Prefer ESG: Illinois Tool Works (ITW),Tax-deferred
c6ecd935723a,51,Single,1,Air Freight & Logistics,87102,NM,True,736262,Short-Term (3-12 months),Experienced,Aggressive,Philanthropy,Medium-term,None,No specific preference,Taxable
9289fe4e65df,76,Married,1,Specialized Consumer Services,06107,CT,True,1416820,Short-Term (3-12 months),Professional,Conservative,Education,Medium-term,Exclude Sector: Consumer Discretionary,Prefer ESG: Avery Dennison (AVY),Tax-deferred
026e8a748571,59,Single,3,Agricultural Products & Services,80203,CO,True,643002,Immediate (0-3 months),Limited,Aggressive,Philanthropy,Medium-term,Exclude Sector: Consumer Discretionary,Prefer ESG in: Electronic Manufacturing Services,Tax-deferred
ca1cb6d67d43,70,Single,2,"Hotels, Resorts & Cruise Lines",22101,VA,False,750130,Medium-Term (1-5 years),Experienced,Moderate,Education,Medium-term,Exclude Sector: Information Technology,Prefer ESG: Pinnacle West Capital (PNW),Tax-deferred
ae0291c7eae4,74,Married,1,Electronic Manufacturing Services,47902,IN,True,431151,Immediate (0-3 months),Experienced,Moderate,Income,Short-term,Exclude Company: Duke Energy (DUK) | Extra Space Storage (EXR) | Ross Stores (ROST),Prefer ESG: Everest Group (EG),Tax-deferred
2c0d2b45849d,79,Married,2,Data Processing & Outsourced Services,19801,DE,False,1775674,Immediate (0-3 months),Experienced,Moderate,Philanthropy,Short-term,None,Prefer ESG: Everest Group (EG),Taxable
17946ea2848f,41,Married,2,Passenger Airlines,19902,DE,True,159654,Medium-Term (1-5 years),None,Conservative,Education,Long-term,Exclude Industry: Movies & Entertainment,No specific preference,Tax-deferred
af71d61b1fa4,39,Married,1,Paper & Plastic Packaging Products & Materials,08602,NJ,True,266750,Medium-Term (1-5 years),Limited,Moderate,Income,Short-term,Exclude Sector: Consumer Staples,Prefer ESG in: Energy,Taxable
cfd91d1dd6a5,26,Married,0,Construction Machinery & Heavy Transportation Equipment,43202,OH,True,455931,Long-Term (5+ years),None,Moderate,Retirement,Medium-term,Exclude Industry: Data Processing & Outsourced Services,Prefer ESG in: Real Estate,Tax-deferred
9bd6389513b7,27,Single,2,Agricultural Products & Services,37203,TN,True,290318,Long-Term (5+ years),Professional,Moderate,Income,Long-term,None,Prefer ESG in: Advertising,Tax-deferred
c918042f2a83,49,Married,4,Building Products,19903,DE,True,244919,Short-Term (3-12 months),Sophisticated,Conservative,Education,Short-term,Exclude Sector: Utilities,"Prefer ESG in: Metal, Glass & Plastic Containers",Taxable
fba982b3cc39,66,Married,2,Gold,58104,ND,True,182995,Long-Term (5+ years),Experienced,Conservative,Education,Long-term,Exclude Industry: Transaction & Payment Processing Services,No specific preference,Taxable
aa22789498fc,44,Married,2,Multi-Utilities,77001,TX,True,710972,Long-Term (5+ years),Experienced,Conservative,Philanthropy,Medium-term,None,No specific preference,Taxable
697cd7ae6151,49,Single,2,Human Resource & Employment Services,08602,NJ,True,203861,Short-Term (3-12 months),Moderate,Conservative,Income,Short-term,Exclude Industry: Reinsurance,No specific preference,Tax-deferred
17e4b818b8f7,27,Single,1,Investment Banking & Brokerage,85001,AZ,True,538179,Short-Term (3-12 months),Moderate,Aggressive,Retirement,Medium-term,None,Prefer ESG: Duke Energy (DUK),Tax-deferred
196a0de4ba77,27,Single,2,Other Specialized REITs,05405,VT,True,371947,Long-Term (5+ years),Moderate,Moderate,Income,Long-term,None,Prefer ESG in: Pharmaceuticals,Tax-deferred
1ee8e0173ac6,53,Married,0,Paper & Plastic Packaging Products & Materials,19902,DE,False,542614,Medium-Term (1-5 years),Professional,Aggressive,Philanthropy,Medium-term,Exclude Sector: Utilities,Prefer ESG: Alphabet Inc. (Class A) (GOOGL),Tax-deferred
72a352d0a4ad,42,Married,3,Oil & Gas Storage & Transportation,39202,MS,True,275844,Long-Term (5+ years),Experienced,Moderate,Income,Medium-term,Exclude Industry: Gold,Prefer ESG in: Cargo Ground Transportation,Taxable
457f2f46e1d0,41,Single,4,Personal Care Products,99202,WA,True,218065,Medium-Term (1-5 years),Sophisticated,Moderate,Philanthropy,Long-term,Exclude Sector: Industrials,No specific preference,Taxable
c552bedfeed8,67,Married,3,Broadline Retail,33101,FL,True,742893,Medium-Term (1-5 years),Moderate,Conservative,Philanthropy,Short-term,None,"Prefer ESG in: Hotels, Resorts & Cruise Lines",Taxable
da66a8f1bfbd,65,Single,2,Diversified Banks,06101,CT,True,165731,Short-Term (3-12 months),Moderate,Moderate,Income,Long-term,Exclude Sector: Information Technology,Prefer ESG: Illinois Tool Works (ITW),Taxable
ced94d56ed5c,58,Married,4,Insurance Brokers,35204,AL,True,878011,Immediate (0-3 months),Moderate,Aggressive,Education,Medium-term,Exclude Industry: Gold,Prefer ESG in: Biotechnology,Taxable
2cf129279cf9,44,Married,2,Multi-Utilities,57502,SD,True,1567856,Medium-Term (1-5 years),Moderate,Moderate,Income,Long-term,Exclude Sector: Consumer Discretionary,Prefer ESG: Workday  Inc. (WDAY),Taxable
58e78147e8c2,31,Married,2,Heavy Electrical Equipment,72205,AR,True,761289,Short-Term (3-12 months),Moderate,Aggressive,Education,Medium-term,Exclude Industry: Food Distributors,Prefer ESG in: Publishing,Taxable
0cd5a3bcca17,30,Married,1,Self-Storage REITs,19105,PA,True,519198,Short-Term (3-12 months),Experienced,Moderate,Education,Short-term,Exclude Company: General Mills (GIS),Prefer ESG: Targa Resources (TRGP),Tax-deferred
23cdb5cd0917,30,Married,1,Specialty Chemicals,19901,DE,True,352195,Medium-Term (1-5 years),Moderate,Aggressive,Retirement,Medium-term,Exclude Sector: Consumer Staples,No specific preference,Tax-deferred
f1cfce81fe15,43,Married,4,Specialized Consumer Services,83704,ID,True,406139,Immediate (0-3 months),Experienced,Conservative,Retirement,Short-term,None,Prefer ESG in: Real Estate,Taxable
a0c281aeb504,64,Single,1,Life & Health Insurance,06105,CT,True,563456,Short-Term (3-12 months),Experienced,Aggressive,Education,Medium-term,Exclude Sector: Consumer Discretionary,Prefer ESG: Ford Motor Company (F),Tax-deferred
99d8088b4f78,52,Married,4,Human Resource & Employment Services,49502,MI,True,481650,Immediate (0-3 months),Limited,Moderate,Retirement,Short-term,None,Prefer ESG in: Real Estate,Taxable
f9074b702f57,29,Married,2,Reinsurance,58501,ND,True,378305,Immediate (0-3 months),Experienced,Aggressive,Retirement,Short-term,Exclude Company: Illinois Tool Works (ITW),Prefer ESG: Agilent Technologies (A),Taxable
b03fcb69e64a,46,Single,0,Multi-Utilities,39203,MS,True,475988,Short-Term (3-12 months),Professional,Moderate,Philanthropy,Short-term,Exclude Industry: Diversified Banks,Prefer ESG in: Consumer Staples,Tax-deferred
4cdfc1e6a68d,40,Married,0,Automotive Retail,98104,WA,True,174158,Long-Term (5+ years),Sophisticated,Aggressive,Income,Long-term,Exclude Sector: Financials,Prefer ESG in: Automotive Parts & Equipment,Tax-deferred
7976142fb35c,21,Single,1,Consumer Electronics,10001,NY,True,223759,Medium-Term (1-5 years),Moderate,Conservative,Retirement,Medium-term,None,No specific preference,Tax-deferred
d12fd60968ef,59,Married,1,Automotive Retail,40203,KY,True,505396,Short-Term (3-12 months),Experienced,Conservative,Philanthropy,Short-term,None,Prefer ESG: Occidental Petroleum (OXY),Tax-deferred
cd3b72f7a4b4,23,Single,1,Hotel & Resort REITs,06102,CT,True,106055,Short-Term (3-12 months),None,Moderate,Education,Short-term,Exclude Industry: Research & Consulting Services,Prefer ESG: EOG Resources (EOG),Taxable
9182147cbec5,45,Married,4,Passenger Airlines,04401,ME,True,270352,Short-Term (3-12 months),Moderate,Conservative,Philanthropy,Short-term,Exclude Industry: Trading Companies & Distributors,Prefer ESG: Old Dominion (ODFL),Tax-deferred
85c71ce0d64e,35,Married,0,Passenger Airlines,32801,FL,True,507573,Short-Term (3-12 months),Moderate,Aggressive,Philanthropy,Short-term,Exclude Company: Advanced Micro Devices (AMD) | Trane Technologies (TT),No specific preference,Tax-deferred
